address,tel,num_bed,name,dcode,lat,lon
34/40 หมู่1 ถนนแจ้งวัฒนะ แขวงทุ่งสองห้อง เขตหลักสี่ กรุงเทพฯ10220,02-574-5000,100,โรงพยาบาลมงกุฏวัฒนะ,1041,13.894080489698206,100.5614354788139
362/114 หมูุ่8 พหลโยธิน แขวงอนุสาวรีย์ บางเขน กรุงเทพฯ10220,02-552-8777,200,โรงพยาบาลเซ็นทรัล เยอเนรัล,1005,13.889086866073564,100.60683115097025
51/3 ถนนงามวงศ์วาน แขวงลาดยาว จตุจักร กรุงเทพฯ10900,02-941-2800,230,โรงพยาบาลวิภาวดี,1030,13.846240650249856,100.56258682403197
"2012/4-9,2014 พหลโยธิน เสนานิคม แขวงจตุจักร กรุงเทพฯ 10900",02-579-1770-4,162,โรงพยาบาล เมโย,1030,13.835411391791592,100.57426381637985
9/99 ถนนรามอินทรา แขวงคันนายาว กรุงเทพฯ,02-948-5380,287,โรงพยาบาลสินแพทย์,1043,13.834266495572002,100.66656389440236
95 แครีเบลล์ ประชาราษฎร์ สาย2 บางซื่อ เขตบางซื่อ กรุงเทพฯ10800,02-587-0144,100,โรงพยาบาลบางโพ,1029,13.807130093173242,100.52310656663772
1 โชคชัย 4 ลาดพร้าว แขวงลาดพร้าว กรุงเทพฯ10230,02-5142157-9,120,โรงพยาบาลเปาโล เมโมเรียล,1038,13.8015409493554,100.59613298707896
44/505 หมู่ 10 นวมินทร์ แขวงคลองกุ่ม บึงกุ่ม กรุงเทพฯ,02-944-7111,140,โรงพยาบาลเปาโลเมโมเรียล,1014,13.792152650449985,100.55065923805849
10/9 อินทามระ33 ถนนสุทธิสาร วินิจฉัย ดินแดง กรุงเทพฯ10400,02-275-6351-5,25,สถานพยาบาลผู้ป่วยเรื้อรังสุทธิสาร,1026,13.790210511973285,100.56226596542587
43/4 หมู่18 ถนนบรมราชชนนี แขวงศาลาธรรมสพน์ ทวีวัฒนา กรุงเทพฯ10170,02-448-3845,95,โรงพยาบาลธนบุรี 2,1048,13.783005241945629,100.40078298092317
114/4 ถนนเศรษฐศิริ สามเสนใน แขวงพญาไท กรุงเทพฯ,02-618-6200,114,โรงพยาบาลวิชัยยุทธ,1014,13.780184549346489,100.5324427407565
113/44 รุ่งประชา บรมราชชนนี แขวงบางกอกน้อย กรุงเทพฯ10700,02-434-0117,200,โรงพยาบาลเจ้าพระยา,1020,13.78019803682606,100.47055940653141
1 ลาดพร้าว 111 ลาดพร้าว แขวงคลองจั่น บางกะปิ กรุงเทพฯ10240,02-734-0000,263,โรงพยาบาลเวชธานี,1006,13.771941559864313,100.63693494187191
943/943/1 พหลโยธิน สามเสนใน พญาไท กรุงเทพฯ,02-6172444,260,โรงพยาบาลพญาไท 2,1014,13.769952787413162,100.54044221001638
436 ถนนรามคำแหง หัวหมาก แขวงบางกะปิ กรุงเทพฯ10240,02-374-020016,486,โรงพยาบาลรามคำแหง,1006,13.760791908687278,100.63619336297783
430 ถนนพิษณุโลก สี่แยกมหานาคแขวงดุสิต กรุงเทพฯ10300,02-282-1100,200,โรงพยาบาลมิชชั่น,1002,13.758276796615919,100.51911950829322
396 ศรีอยุธยา ถนนพญาไท แขวงราชเทวี กรุงเทพฯ1044,02-246-0137,100,โรงพยาบาลเดชา,1037,13.756787824014939,100.53561847193963
364/1 ศรีอยุธยา ถนนพญาไท แขวงราชเทวี กรุงเทพฯ10400,02-640-1111,350,โรงพยาบาลพญาไท 1,1037,13.756233208468775,100.53903293283143
99 ซอยแสงแจ่ม ถนนพระราม 9 บางกะปิ ห้วยขวาง กรุงเทพฯ,02-248-8020,160,โรงพยาบาลพระราม 9,1017,13.753245636014066,100.57059136421677
998 ริมคลองสามเสน บางกะปิ ห้วยขวาง กรุงเทพฯ10310,02-641-4499,150,โรงพยาบาลปิยะเวท,1017,13.75366742642336,100.58007031928886
34/1 ถนนแสงศึกษา อิสระภาพซอย4 แขวงบ้านช่างหล่อ บางกอกน้อย กรุงเทพฯ10700,02-412-0020,435,โรงพยาบาลธนบุรี,1020,13.752742122892933,100.4799262417978
665 บำรุงเมือง คลองมหานาค ป้อมปราบศัตรูพ่าย กรุงเทพฯ,02-223-1351,338,โรงพยาบาลหัวเฉียว,1008,13.750132987443425,100.51542928264242
2 ศูนย์วิจัย7 ถนนเพชรบุรีตัดใหม่ บางกะปิ ห้วยขวาง กรุงเทพฯ,02-310-3000,403,โรงพยาบาลกรุงเทพ,1017,13.748857717428868,100.58341713274457
80-80/1ซอยอโศก สุขุมวิท21 คลองเตยเหนือ วัฒนา กรุงเทพฯ10110,02-258-0442,31,โรงพยาบาลจักษุรัตนิน,1039,13.746539705937181,100.56310828499895
33 สุขุมวิท แขวงพระโขนงเหนือ เขตวัฒนา กรุงเทพฯ10110,02-667-1000,538,โรงพยาบาลบำรุงราษฎร์,1039,13.746307372573535,100.55239262014783
124-126 ซอยสมานมิตร  ถนนรามคำแหง แขวงสวนหลวง เขตสวนหลวง กรุงเทพฯ,02-314-0726-9,109,โรงพยาบาลแพทย์ปัญญา,1034,13.743902977386306,100.60733734971274
"2469/13,1 ถนนเพชรบุรีตัดใหม่ ห้วยขวาง กรุงเทพฯ10320",02-718-1515,200,โรงพยาบาล เพชรเวช,1017,13.742992810858306,100.59476402380011
3284 เพชรบุรีตัดใหม่ บางกะปิ ห้วยขวาง กรุงเทพฯ10320,02-319-2101-5,32,โรงพยาบาลคลองตัน,1017,13.741905159058026,100.59440717981637
513-515 เจริญกรุง ป้อมปราบ แขวงป้อมปราบศัตรูพ่าย กรุงเทพฯ,02-221-8487,50,โรงพยาบาลกว๋องสิวมูลนิธิ,1008,13.742318836292256,100.51100987677736
423 ซอยทองหล่อ สุขุมวิท 55 แขวงทวีวัฒนา กรุงเทพฯ10110,02-391-5724,150,โรงพยาบาลคามิลเลียน,1039,13.739332493034812,100.5837348335639
606 ถนนเยาวราช แขวงสัมพันธวงศ์ เขตสัมพันธวงศ์ กรุงเทพฯ,02-233-0955,60,โรงพยาบาลเทียนฟ้ามูลนิธิ(แผนปัจจุบัน),1013,13.738144161318568,100.51187562228787
133 สุขุมวิท 49 แขวงคลองตันเหนือ เขตวัฒนากรุงเทพฯ10110,02-392-0011,275,โรงพยาบาลสมิติเวช,1039,13.735403287064779,100.57638950308717
323ถ.ประชาธิปก แขวงสมเด็จเจ้าพระยา คลองสาน กรุงเทพฯ10230,02-948-5380,30,โรงพยาบาลนันอา,1018,13.731358692479791,100.49538299233785
124 ถนนสีลม สุริยวงศ์  แขวงบางรัก กรุงเทพฯ,02- 233-6819,198,โรงพยาบาลกรุงเทพคริสเตียน,1004,13.72822911957504,100.53129859966486
46/7-9 ซอยปราโมทย์ ถนนมเสักข์ แขวงสุริยวงศ์ บางรัก กรุงเทพฯ,02-6357123,132,โรงพยาบาลมเหสักข์,1004,13.725212443797874,100.5194749827276
62 กิ่งเกษม เพชรเกษม แขวงปากคลองภาษีเจริญ กรุงเทพฯ,02-457-00086,100,โรงพยาบาลบางไผ่,1022,13.725163256814374,100.46503109292341
9/1คอนแวนต์ สีลม บางรัก กรุงเทพฯ10500,02-686-2700,86,โรงพยาบาลบี เอ็น เอช,1004,13.724919383368995,100.53505936760537
1411 ถนนสุขุมวิท แขวงพระโขนงเหนือ เขตวัฒนา กรุงเทพฯ10110,02-391-0011,110,โรงพยาบาลสุขุมวิท,1039,13.71867188389771,100.58759858934967
"1363,1375 ถนนเทอดไท ตลาดพลู แขวงธนบุรี กรุงเทพฯ 10600",02-465-5620-2,31,โรงพยาบาลเยาวรักษ์,1015,13.720041518438814,100.47484837866311
27 ถนนสาทรใต้ แขวงยานนาวา สาทร กรุงเทพฯ10120,026755000,412,โรงพยาบาลเซ็นต์หลุยส์,1028,13.719413374398396,100.52521534892448
3850 ถนนพระราม 4 พระโขนง แขวงคลองเตย กรุงเทพฯ10110,02-240-2727,80,โรงพยาบาลเทพธารินทร์,1033,13.714693988782718,100.57654681822257
337 สมเด็จพระเจ้าตากสิน แขวงสำเหร่ ธนบุรี กรุงเทพฯ10600,02-438-0040-5,150,โรงพยาบาลกรุงธน 1,1015,13.714208025535765,100.48951527175915
"586,588 ถนนเพชรเกษม บางแคเหนือ แขวงบางแค กรุงเทพฯ10160",02-804-8959,317,โรงพยาบาลเกษมราษฏร์บางแค,1040,13.710542478991654,100.39877888010443
80/57 หมู่4 เพชรเกษม 39/2 เพชรเกษม บางแค กรุงเทพฯ10160,02-801-1199,30,สถานพยาบาลเพชรเกษม - บางแค,1040,13.710913294172927,100.41961219150808
2 สุขสวัสดิ์ 25/1 บางปะกอก แขวงราษฎร์บูรณะ กรุงเทพฯ10140,02-872-1111,120,โรงพยาบาลบางปะกอก 1,1024,13.678752152424495,100.49884362819218
377 ราษฎร์บูรณะ บางปะกอก  แขวงราษฎร์บูรณะ กรุงเทพฯ10140,02-427-0175-9,124,โรงพยาบาลราษฏร์บูรณะ,1024,13.677952304579913,100.50267523601372
747 พระรามที่ 2 บางมด จอมทอง กรุงเทพฯ10150,02-867-0606,203,โรงพยาบาลบางมด,1035,13.671718758398514,100.45663423199242
1 พระรามที่ 2 ซอย 56 แสมดำ แขวงบางขุนเทียน กรุงเทพฯ1150,02-416-5454,150,โรงพยาบาลนครธน,1021,13.660641873199555,100.43396826136274
4/29 หมู่ 10 ศรีครินทร์ แขวงบางนา กรุงเทพฯ10260,02-383-4400,216,โรงพยาบาลศิครินทร์,1047,13.654567650175066,100.6461176254693
78/1หมู่6 ถนนพระราม 2 แสมดำ บางขุนเทียน กรุงเทพฯ 10150,02-451-4920-30,109,โรงพยาบาลพระราม 2,1021,13.651777662745127,100.42211737296991
599 หมู่ 4 ถนนสุขสวัสดิ์ บางปะกอก แขวงราษฎร์บูรณะ กรุงเทพฯ10140,02-427-1616,100,โรงพยาบาลนวมินทร์ 2,1024,13.677637924834295,100.49851858538817
27 (ซอยโสภณ) สุขุมวิท 68 บางนา กรุงเทพฯ10260,02-769-2000,80,สถานพยาบาลผู้ป่วยเรื้องรังกล้วยน้ำไท2,1047,13.676898909945603,100.60679288928743
"88,90,92 ถนนรามคำแหง แขวงสะพานสูง กรุงเทพฯ10240",02729300,100,โรงพยาบาลเกษมราษฎร์ สุขาภิบาล 3,1044,13.77598091192073,100.67447411831739
950 ถนนประชาชื่น วงศ์สว่าง บางซื่อ กรุงเทพฯ 10800,02-910-1600,373,โรงพยาบาลเกษมราษฎร์ประชาชื่น,1029,13.831932980374475,100.5387677376795
55/3 ถนนสุทธิสาร สามเสนนอก ห้วยขวาง กรุงเทพฯ10310,026930733-40,60,โรงพยาบาลโกลเด้นเยียร์,1017,13.789876731457282,100.57740090336904
5 ชิดลม เพลินจิต ลุมพินี แขวงปทุมวัน กรุงเทพฯ,02-655-5300,20,โรงพยาบาลเจตนิน,1007,13.747191729127483,100.54474398640937
99/49 ถนนลาดพร้าว 9 แขวงลาดยาว เขตจตุจักร กรุงเทพฯ10900,02-511-0303,26,สถานพยาบาลเดอะซีเนียร์,1030,13.809314859288685,100.56917079638201
585-585/1 ถนนสิรินธร บางบำหรุ แขวงบางพลัด กรุงเทพฯ10700,02-886-6600,46,โรงพยาบาลตา หู คอ จมูก,1025,13.787515041295293,100.47040113886439
47/94 ถนน สีหบุรากิจ มีนบุรี แขวงมีนบุรี กรุงเทพฯ,02-9185080,169,โรงพยาบาลนวมินทร์ 9,1010,13.811382293270938,100.72163584270386
345 หมู่11 บางนา-ตราด แขวงบางนา กรุงเทพฯ10260,02-361-2828,190,โรงพยาบาลไทยนครินทร์,1047,13.668191357105629,100.6383191621376
1302 บางนา-ตราด แขวงบางนา กรุงเทพฯ10260,02-7259595,62,โรงพยาบาลบางนา 1,1047,13.666937870235909,100.63555508561615
65/17 รามคำแหง 21 รามคำแหง วังทองหลาง แขวงวังทองหลาง กรุงเทพฯ10310,02-7184866-7,50,โรงพยาบาลนวศรีเนอสซิ่งโฮม,1045,13.754771089923722,100.60771140902794
124/74-75 ถนนดาวคะนอง -จอมทอง แขวงบางค้อ จอมทอง กรุงเทพฯ,02-477-2290-3,15,สถานพยาบาลเวชกรรมทั่วไปบางขุนเทียน,1035,13.69911322161687,100.46987928484779
111 ถนนเพชรเกษม แขวงปากคลองภาษีเจริญ กรุงเทพฯ,02-4671111,230,โรงพยาบาลพญาไท 3,1022,13.722963055987314,100.46405671470391
454 ถนนจรัญสนิทวงศ์ บางอ้อ แขวง บางพลัด กรุงเทพฯ10700,02-879-0300,400,โรงพยาบาลยันฮี,1025,13.7995716616593,100.51144938494687
488 ถนนศรีนครินทร์ แขวงสวนหลวง เขตสวนหลวง กรุงเทพฯ10250,02-378-9000,154,โรงพยาบาลสมิติเวชศรีนครินทร์,1034,13.748841668017418,100.63843581884113
29 หมู่ 6 พหลโยธิน แขวงสายไหม เขตสายไหม กรุงเทพฯ10220,02-523-3359-71,136,โรงพยาบาลบี.แคร์.เมดิคอลเซ็นเตอร์,1042,13.94315618724992,100.62459456202572
6-6/4 ถนนรัชดาภิเษก ตากสินท-ท่าพระ แขวงตลาดพลู ธนบุรี กรุงเทพฯ10600,02-466-0205,26,โรงพยาบาลรัชดา-ท่าพระ,1015,13.717167695426495,100.4775162623166
20/6 นวศรี 2 รามคำแหง 21 แขวงพลับพลา กรุงเทพฯ,02-319-5865,40,ศุขเวชเนอสซิ่งโฮม,1045,13.75801785583775,100.60972615889462
83/125-126 ชินเขต 2 งามวงศ์วาน ทุ่งสองห้อง หลักสี่ กรุงเทพฯ10210,025807426-8,26,ศูนย์การแพทย์ชินเขตเนอร์สซิ่งโฮม,1041,13.855758509968878,100.5514062955865
185 ซอยจักกริช4 ลาดพร้าว 71 แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพฯ10310,02-718-48667,30,สถานพยาบาลภัสรพิบาลเนอสซิ่งโฮม,1030,13.805631519442938,100.58671859069861
240/2-7 ถนนจรัญสนิทวงศ์ บ้านช่างหล่อ แขวงบางกอกน้อย กรุงเทพฯ10700,02-421-005560,59,โรงพยาบาลศิริชัย,1050,13.673722633598556,100.42599561840504
44 ซอยอารีย์ 1 พหลโยธิน แขวงสามเสนใน กรุงเทพฯ,02-278-5716-21,30,โรงพยาบาลศูนย์มะเร็งกรุงเทพ,1014,13.779131476215564,100.54270665362007
รัชดาภิเษก จันทรเกษม จตุจักร กรุงเทพฯ10900,02-511-0303,119,สถานพยาบาล เดอะซีเนียร์ สาขารัชดาภิเษก,1030,13.82578665887142,100.58291924190269
131/1 ซอยเฉลิมสุข แขวงจันทรเกษม จตุจักร กรุงเทพฯ10900,02-930-0020,30,สถานพยาบาลผู้ป่วยเรื้อรัง,1030,13.825156804717928,100.5752866852463
362 พระราม 2 แขวงบางมด จอมทอง กรุงเทพฯ10150,02-2877-1111,200,โรงพยาบาลบางปะกอก 9 อินเตอร์เนชั่นแนล,1035,13.681648453671857,100.47455940079345
168 ถนนเจริญราษฎร์ บางคอแหลม บางคอแหลม กรุงเทพฯ 10120,02-689-8888,10,สถานพยาบาลพระราม 3,1031,13.68996706850487,100.50935090606507
107 ถนนบรมราชชนนี อรุณอัมรินทร์ แขวงบางกอกน้อย กรุงเทพฯ 10700,02-434-5222,32,โรงพยาบาลผิวหนัง อโศก สาขาปิ่นเกล้า,1020,13.765426088174019,100.48664026524365
เอกชัย บางบอน  บางบอน กรุงเทพฯ 10150,02-8944-4111,35,โรงพยาบาลบางปะกอก 8,1050,13.659176883993497,100.3999892562515
372-372/1 เอกชัย บางบอน กรุงเทพฯ 10150,02-899-0130,10,สถานพยาบาลเวชกรรมบางปะกอก 2,1050,13.662180684558622,100.40408084730325
442 ถนนบางแวก  บางแวก เขตภาษีเจริญ กรุงเทพฯ10160,02-865-0044-8,3,สถานพยาบาลเวชกรรมเฉพาะทางอาชีวเวชศาสตร์,1022,13.738785554647631,100.43189778652696
44 ถนนเสรีไทย มีนบุรี เขตมีนบุรี กรุงเทพฯ10510,029189888,71,โรงพยาบาลเสรีรักษ์,1010,13.80464927189394,100.71079993217342
1223 ลาดพร้าว 94 พลับพลา แขวงพลับพลา กรุงเทพฯ,02 -559-0151-5,31,โรงพยาบาลเฉพาะทางศัลยกรรมตกแต่งกมล,1045,13.78410928186947,100.61161404220303
91หมู่1 ถนนเฉลิมพงษ์ แขวงสายไหม เขตสายไหม กรุงเทพฯ10220,02991-8999,100,โรงพยาบาลสายไหม,1042,13.9238890431413,100.68425326104979
"456,456/1-8 เพชรเกษม หนองค้างพลู หนองแขม กรุงเทพฯ10160",028074044,200,โรงพยาบาลวิชัยเวช อินเตอร์เนชั่นแนล หนองแขม,1023,13.706316194478767,100.35194124466862
18 อโศกดินแดง บางกะปิเ ห้วยขวาง กรุงเทพฯ10310,-,32,โรงพยาบาลผิวหนัง อโศก,1017,13.75031627460772,100.56400907560977
85ศูนย์วิจัย  เพชรบุรีตัดใหม่ บางกะปิ ห้วยขวาง กรุงเทพฯ 10320,02310-3000,49,โรงพยาบาลวัฒโนสถ,1017,13.756058696095161,100.5819663937081
ศูนย์วิจัย 7 เพชรบุรีตัดใหม่ บางกะปิ ห้วยขวาง กรุงเทพฯ,023103227,87,สถานพยาบาลเวชกรรม กรุงเทพอินเตอร์เนชั่นแนล,1017,13.744905205870557,100.58481307127002
2699 ลาดพร้าว วังทองหลาง แขวงวังทองหลาง กรุงเทพฯ10310,02-530-2556-69,180,โรงพยาบาลลาดพร้าว,1045,13.778554986632635,100.62388786405872
53ซอยเศรษฐศิริ สามเสนใน แขวงพญาไท กรุงเทพฯ 10400,02-265-7777,114,โรงพยาบาลการแพทย์วิชัยยุทธ,1014,13.783266250753819,100.53368461074803
8/99 ถนนพญาไท แขวงทุ่งพญาไท เขตราชเทวี กรุงเทพฯ10400,-,146,สถาบันโรคไตภูมิราชนครินทร์,1037,13.762024247612796,100.53654687617845
