name,location,dcode,num_pass
สถานีคลองเตย,ถนนพระราม 4,1033,582654
สถานีศูนย์ประชุมสิริกิติ์,ถนนรัชดาภิเษก,1033,3710289
สถานีบางซื่อ,ใกล้สถานีรถไฟบางซื่อ ถนนเทอดดำริ,1030,2701979
สถานีสวนจตุจักร,ถนนพหลโยธิน,1030,3945951
สถานีลาดพร้าว,แยกถนนลาดพร้าว-ถนนรัชดาภิเษก,1030,4179222
สถานีสุทธิสาร,แยกสุทธิสาร ถนนรัชดาภิเษก,1026,3563059
สถานีรัชดาภิเษก,ถนนรัชดาภิเษก,1026,2002601
สถานีห้วยขวาง,แยกห้วยขวาง ถนนรัชดาภิเษก,1026,5255124
สถานีกำแพงเพชร,แยกถนนกำแพงเพชร 1-ถนนกำแพงเพชร 2,1030,1332137
สถานีพระราม 9,แยกถนนรัชดาภิเษก-ถนนพระราม 9,1026,4289938
สถานีศูนย์วัฒนธรรม,ถนนรัชดาภิเษก,1026,4571231
สถานีเพชรบุรี,แยกถนนเพชรบุรี-ถนนอโศก,1037,4729479
สถานีสุขุมวิท,แยกถนนสุขุมวิท-ถนนอโศก,1039,8761678
สถานีสามย่าน,แยกสามย่าน ถนนพระราม 4,1004,2590146
สถานีสีลม,แยกศาลาแดง ถนนพระราม 4,1004,5156150
สถานีลุมพินี,แยกวิทยุ ถนนพระราม 4,1007,2614759
สถานีหัวลำโพง,ถนนพระราม 4,1004,4225013
สถานีพหลโยธิน,บริเวณห้าแยกลาดพร้าว,1030,4342337